Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Watchtower Standard Route","The Watchtower - Lower > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108100067/watchtower-standard-route,3.0,-1,Trad,5.8,3,250,45.41763,-111.23067
"Sully's Route","Main Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/106445447/sullys-route,3.2,-1,Sport,5.10a,2,90,45.5961,-110.5598
"Rosebush Crack","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106288990/rosebush-crack,2.8,-1,Trad,5.9,1,70,45.55519,-111.06181
"Under the Sea","Under The Sea Wall > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107657027/under-the-sea,2.5,-1,Sport,5.10a,1,55,45.6051,-110.915
"Spare Tire","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106963299/spare-tire,2.9,-1,"Trad, Sport",5.10b,1,90,45.4169,-111.2342
"Porcelain Wall","Porcelain Wall > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/108117615/porcelain-wall,3.3,-1,Sport,5.11c,1,70,45.54941,-110.2046
"Montana Centennial Route","Cowen Massif > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/106881785/montana-centennial-route,3.8,-1,"Trad, Alpine",5.11a,12,1600,45.3886,-110.48639
"Venus De Milo","Second Buttress > Kootenai Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/106547464/venus-de-milo,3.7,-1,Sport,5.11d,1,60,46.53792,-114.15797
"Cruise Control","Queen (Southeast Corner) > Spire Rock > Southwest Region > Montana",https://www.mountainproject.com/route/108398015/cruise-control,3.7,-1,Trad,5.10,1,50,45.95244,-112.28956
"The Natural","Frat Boy Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/107666989/the-natural,3.1,-1,Sport,5.10b,1,55,45.64215,-110.90618
"Flying Time","Second Buttress > Kootenai Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/107111230/flying-time,3.5,-1,Sport,5.10d,1,60,46.53792,-114.15797
"Room With A View","Room with a View > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/106079982/room-with-a-view,3.6,-1,Sport,5.8+,1,65,48.79306,-115.29986
"Standard Route Direct Finish","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/113202326/standard-route-direct-finish,3.1,-1,Trad,5.9,1,100,45.4169,-111.2342
"Skin Diver","Under The Sea Wall > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107656940/skin-diver,2.1,-1,Sport,5.8,1,40,45.6051,-110.915
"Ashes of Stone","Ashes of Stone Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107269714/ashes-of-stone,3.1,-1,"Trad, Sport",5.9,1,190,45.41818,-111.22899
Batman,"Batman and Robin Slab > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107643164/batman,1.9,-1,Sport,5.8,1,40,45.6049,-110.9148
Robin,"Batman and Robin Slab > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107643205/robin,2.0,-1,Sport,5.8+,1,40,45.6049,-110.9148
"Dam in the Rain","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/109074357/dam-in-the-rain,3.0,-1,Sport,5.10a,1,65,45.5944,-110.5583
"Sea Bucket","Under The Sea Wall > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107657049/sea-bucket,2.4,-1,Sport,5.9,1,55,45.6051,-110.915
