oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Floor Pie","Floor Pie Roof / Flying Saucer > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106066155/floor-pie,3.6,-1,Boulder,V6,1,10,35.0819,-111.601
"Hookers are fun!","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672009/hookers-are-fun,3.1,-1,Boulder,V2,1,,33.35761,-112.00958
"Bump to Conclusions","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/107258980/bump-to-conclusions,3.7,-1,Boulder,V3,1,15,34.95661,-110.65823
"When the Bible is a Bottle","G. The Booze Pig Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107371446/when-the-bible-is-a-bottle,3.9,-1,Boulder,V7,1,15,35.11339,-111.58081
"Alien Autopsy","Vector Arena > Oak Flats > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106991335/alien-autopsy,4.0,-1,Boulder,V3,1,12,33.3022,-111.0534
"The Loaf","Monster Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107037995/the-loaf,3.0,-1,Boulder,V5,1,12,35.0819,-111.601
"Block Roof","Buffalo Park > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107150372/block-roof,3.7,-1,Boulder,"V5 PG13",1,12,35.2191,-111.6287
Twister,"Floor Pie Roof / Flying Saucer > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106372847/twister,3.1,-1,Boulder,V6,1,15,35.0819,-111.601
Carnivore,"Anorexic Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106249265/carnivore,3.6,-1,Boulder,V8,1,18,35.08062,-111.61267
"Huck Finn","Donkey Punch Area > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106807427/huck-finn,3.3,-1,Boulder,"V3 PG13",1,18,35.0655,-111.6959
"Silly Little Dirty","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672017/silly-little-dirty,2.7,-1,Boulder,V2,1,,33.35761,-112.00958
Eclipse,"Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106588284/eclipse,3.7,-1,Boulder,V8,1,10,34.46766,-112.43789
"The Hermit","Puzzle Box > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107010262/the-hermit,2.7,-1,Boulder,V5,1,12,35.0819,-111.601
"Aloha Left Arete","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106155145/aloha-left-arete,2.6,-1,Boulder,V1-2,1,12,35.0655,-111.6959
"R God is Neither","Puzzle Box > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107128627/r-god-is-neither,3.6,-1,Boulder,V8,1,12,35.0819,-111.601
"The Diggler","Lifestyles Rock > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106588264/the-diggler,3.8,-1,Boulder,V6+,1,15,34.53933,-112.44944
"Charles in Charge","Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105962637/charles-in-charge,3.3,-1,Boulder,V5,1,12,34.46766,-112.43789
"Stuff Shootin'","Across the Creek > Grasshopper Point Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106550561/stuff-shootin,4.0,-1,Boulder,V8-,1,15,34.88725,-111.7311
"The Infamous Lieback","Layback Rock > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106588277/the-infamous-lieback,3.0,-1,Boulder,V2,1,15,34.46733,-112.43804
"Bat Roof Direct","The Bat Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107562654/bat-roof-direct,3.1,-1,Boulder,V4,1,,35.08198,-111.60998
"Jewel Thief","Matterhorn Boulder > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106042075/jewel-thief,3.6,-1,Boulder,V9,1,18,32.38275,-110.69383
"Tall Cool One","The High Island > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106387545/tall-cool-one,3.3,-1,Boulder,V3,1,,34.53933,-112.44944
"Green Mile Direct","Donkey Punch Area > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106777763/green-mile-direct,3.3,-1,Boulder,V8-9,1,15,35.0655,-111.6959
"Cleveland Steamer","Donkey Punch Area > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106456364/cleveland-steamer,3.8,-1,Boulder,V6,1,15,35.0655,-111.6959
"Cosmic Tricycle","Puzzle Box > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107067717/cosmic-tricycle,3.4,-1,Boulder,V9-,1,,35.0819,-111.601
Dishwasher,"Parking Area Bouldering > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106029524/dishwasher,2.5,-1,Boulder,V3,1,12,35.08201,-111.6004
"Main Attraction","World Boulder > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106673417/main-attraction,3.2,-1,Boulder,V4-,1,,33.35722,-112.01162
"Civil War","The Dragon's Den > Gandalf's Gorge > Aspen Trail Boulders > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/108878271/civil-war,3.4,-1,Boulder,V6,1,,32.42506,-110.75318
"Chuck Taylor","Viet Springs > San Francisco Peak's > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107206190/chuck-taylor,4.0,-1,Boulder,V4,1,18,35.30682,-111.71292
"Icy Mike","Donkey Punch Area > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106293477/icy-mike,3.2,-1,Boulder,V2-3,1,15,35.0655,-111.6959
"Aretey Done","Square Top Boulder > Peanut Boulders > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106270122/aretey-done,4.0,-1,Boulder,V0-,1,10,32.3783,-110.689
"White Streak","Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106066173/white-streak,2.3,-1,Boulder,V2,1,,35.08202,-111.59841
"She Lives","She Lives Roof > Howard Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106279580/she-lives,3.2,-1,Boulder,V6,1,12,35.0816,-111.5995
"The Flame and the Void","Warped Wall > Wilderness of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/115174016/the-flame-and-the-void,4.0,-1,"Boulder, Alpine","V6 PG13",1,18,32.42515,-110.78475
"Bees Knees","SW cluster > Entrance Boulders > Wilderness of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/117816320/bees-knees,4.0,-1,Boulder,V4,1,8,32.43039,-110.77309
