oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Quick Strike","UFO Boulders > Icecapades > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/109275984/quick-strike,4.0,-1,Boulder,"V4 PG13",1,15,33.74158,-112.17486
"Disco Polly","Monster Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106416919/disco-polly,2.6,-1,Boulder,V6,1,12,35.0819,-111.601
"DRL Face","The Gully Boulders > Sullivan's Canyon > Outlying  Areas > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110502090/drl-face,4.0,-1,Boulder,V6,1,18,34.86443,-112.45844
"The Super Chunk","The Gully Boulders > Sullivan's Canyon > Outlying  Areas > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110502123/the-super-chunk,4.0,-1,Boulder,V6-7,1,,34.86443,-112.45844
"More than Life","F. The Booze Pig Wall West > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/110320182/more-than-life,4.0,-1,Boulder,V2,1,20,35.11343,-111.58104
"High on Waffles... or old school route?","Apex area > Fatmans Loop > Mt. Elden Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/108135745/high-on-waffles-or-old-school-route,4.0,-1,Boulder,V4-5,1,18,35.24711,-111.6067
"Blocked Corridor","The Corridor Boulders > Icecapades > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/109047906/blocked-corridor,4.0,-1,Boulder,V3,1,13,33.74179,-112.17491
"Rage quit","Salome > Central Arizona > Arizona",https://www.mountainproject.com/route/108064158/rage-quit,4.0,-1,Boulder,V4-,1,8,33.8501,-113.68748
"the arcade","Oak Flat Bouldering > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106825898/the-arcade,4.0,-1,Boulder,V6,1,15,33.30561,-111.07634
"Leap of Pleepleus","Three Sheets Boulder > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/107879096/leap-of-pleepleus,4.0,-1,Boulder,V2+,1,12,32.36712,-110.71485
"Spare me the Details","C. NPR Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106231899/spare-me-the-details,3.8,-1,Boulder,V4+,1,,35.10777,-111.59171
"I dont Know","Arivaca Lake > Southern Arizona > Arizona",https://www.mountainproject.com/route/106376192/i-dont-know,4.0,-1,Boulder,V1,1,20,32.2534,-110.9237
Ricochet,"Fair Oaks Boulders > Outlying  Areas > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106654892/ricochet,4.0,-1,Boulder,V6,1,,34.73284,-112.66631
"Mother of Invention","The Fortress > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107418287/mother-of-invention,3.6,-1,Boulder,V7,1,15,33.40915,-111.35184
"The Traverse","Arkansas & Traverse Wall > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106328249/the-traverse,3.4,-1,Boulder,V7-8,1,30,35.0655,-111.6959
Mainline,"Rad Rocks and Mystery Stump Areas > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/109704462/mainline,3.6,-1,Boulder,V8,1,,34.46757,-112.43804
"Trailer Park Arete","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106155151/trailer-park-arete,2.8,-1,Boulder,V4,1,12,35.0655,-111.6959
"Faceleft AKA Facelift Traverse","The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111483198/faceleft-aka-facelift-traverse,3.6,-1,Boulder,V6,1,15,34.46593,-112.43992
"Flake Orgasm","Atlantis > Oak Flats > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106959077/flake-orgasm,3.3,-1,Boulder,V3,1,10,33.3023,-111.0561
"Block Arete","Buffalo Park > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106142829/block-arete,3.4,-1,Boulder,V3,1,15,35.2191,-111.6287
"Stems And Seeds","Seeds n' Stems Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106327597/stems-and-seeds,3.1,-1,Boulder,V4-5,1,12,34.87147,-111.7534
"The Flake","Matterhorn Boulder > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106041987/the-flake,3.0,-1,Boulder,V5,1,15,32.38275,-110.69383
"Alien Baby Right","Gerdame/Alien Baby Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106506648/alien-baby-right,3.3,-1,Boulder,V9,1,15,34.87231,-111.75381
"The Tootsie Roll","The Canyon Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110493384/the-tootsie-roll,3.3,-1,Boulder,V1-,1,,34.47058,-112.43789
"Diary of a Punter","Peter's Cluster > Aspen Trail Boulders > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/113219278/diary-of-a-punter,3.7,-1,Boulder,V5,1,18,32.42775,-110.75477
"Steppin' Out","Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106299394/steppin-out,3.1,-1,Boulder,V3,1,16,34.46766,-112.43789
"Sucker Problem Sit Start","Alley Rocks > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111555117/sucker-problem-sit-start,3.7,-1,Boulder,V9,1,12,34.46714,-112.43788
"Sahara Motel","Susurradores > Council Rocks > West Stronghold Bouldering > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/116183765/sahara-motel,3.8,-1,Boulder,V4,1,23,31.90571,-110.03318
"Charlie's Angels","The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106589031/charlies-angels,2.9,-1,Boulder,V5,1,10,34.46593,-112.43992
"The Rails","Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona",https://www.mountainproject.com/route/105900716/the-rails,2.9,-1,Boulder,V6,1,10,32.39552,-111.14302
"Thievius Raccoonus","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/117656860/thievius-raccoonus,3.8,-1,Boulder,V1,1,25,34.95661,-110.65823
"The Crucible","The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111370833/the-crucible,3.8,-1,Boulder,V10+,1,20,34.46593,-112.43992
"Jack and the Beanstock","Water Front Area > West Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107703342/jack-and-the-beanstock,3.8,-1,Boulder,"V4 PG13",1,20,35.0661,-111.6999
"3 Pump Chump","Lifestyles Rock > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106299339/3-pump-chump,3.4,-1,Boulder,V3,1,15,34.53933,-112.44944
"Shadow Boxer","Basement Wall > Hassayampa Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/107892327/shadow-boxer,3.8,-1,Boulder,V5,1,20,34.4515,-112.4744
"DRL Drive Sit Start","New Outfromunder Boulders > Thumb Butte Boulders > In-Town Bouldering > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110159951/drl-drive-sit-start,3.8,-1,Boulder,V8,1,15,34.5493,-112.5232
"Mars Attacks","Mars Attacks Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106550099/mars-attacks,3.2,-1,Boulder,V9,1,10,34.87173,-111.75336
"The Peanut","Peanut Area > Gloria's > Mt. Elden Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106154676/the-peanut,3.6,-1,Boulder,V8,1,15,35.232,-111.6245
"A Moment of Airity","I. Long Ryders Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107399847/a-moment-of-airity,3.6,-1,Boulder,V3-4,1,,35.1124,-111.57935
"Lucky Goes For a Walk","Lucky's Boulder > Gandalf's Gorge > Aspen Trail Boulders > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/108880377/lucky-goes-for-a-walk,3.4,-1,Boulder,"V9 R",1,,32.42506,-110.75318
"Gimmie Some","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672000/gimmie-some,2.0,-1,Boulder,V0,1,,33.35761,-112.00958
"Risky Business","Alley Rocks > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/108148802/risky-business,2.9,-1,Boulder,V0,1,10,34.46714,-112.43788
"Hairy Cleavage","Africa Boulder > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106680671/hairy-cleavage,3.5,-1,Boulder,V7,1,,33.35637,-112.01206
"Full Value","DWS West Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106539585/full-value,3.4,-1,Boulder,V3-,1,30,34.96125,-110.65969
"Streets of Laredo","I. Long Ryders Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107399823/streets-of-laredo,3.4,-1,Boulder,V3,1,,35.1124,-111.57935
"Farmer John","Rad Rocks and Mystery Stump Areas > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111483184/farmer-john,3.5,-1,Boulder,V4,1,10,34.46757,-112.43804
"Worst Crimps","The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/107356460/worst-crimps,3.4,-1,Boulder,V8,1,,34.46593,-112.43992
"Pushin' Rope","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/108154559/pushin-rope,3.5,-1,Boulder,V6,1,15,35.0655,-111.6959
"No News, is Good News","C. NPR Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106231870/no-news-is-good-news,3.5,-1,Boulder,V5,1,,35.10777,-111.59171
"Stinky Ass","Bad Ass Roof > Howard Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106159516/stinky-ass,3.1,-1,Boulder,V7,1,12,35.0816,-111.5995
"Man Tits","Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106066165/man-tits,2.5,-1,Boulder,V3+,1,12,35.08202,-111.59841
"Crown Jewel","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106671954/crown-jewel,2.8,-1,Boulder,"V4 PG13",1,20,33.35761,-112.00958
"Hammer of Hate","Molino Basin Boulders > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106566751/hammer-of-hate,3.6,-1,Boulder,V8,1,,32.33746,-110.69046
"The Golf Ball","Alley Rocks > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106916555/the-golf-ball,3.7,-1,Boulder,V8,1,15,34.46714,-112.43788
"On Liquor I Spent my Last Dime","G. The Booze Pig Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106063073/on-liquor-i-spent-my-last-dime,3.3,-1,Boulder,V5,1,15,35.11339,-111.58081
Tsunami,"Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672235/tsunami,2.9,-1,Boulder,V4,1,,33.35761,-112.00958
Tombstone,"Tombstone Area > Gloria's > Mt. Elden Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106578702/tombstone,3.6,-1,Boulder,V7,1,15,35.232,-111.6245
"A Dog's Life","B.  The Whining Dog Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/110316907/a-dogs-life,3.6,-1,Boulder,V1-,1,15,35.11562,-111.58651
"Tin Ho!","Parking Area Bouldering > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106888956/tin-ho,3.3,-1,Boulder,V4,1,12,35.08201,-111.6004
"Midsummer Dreams","The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/116603361/midsummer-dreams,3.7,-1,Boulder,V8,1,12,34.46593,-112.43992
"Double Dip Right","Buffalo Park > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106143496/double-dip-right,3.3,-1,Boulder,V4,1,10,35.2191,-111.6287
"V0 Traverse","Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106285136/v0-traverse,2.4,-1,Boulder,V0,1,15,35.08202,-111.59841
"Sea of Tranquility","Moon Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114400008/sea-of-tranquility,3.7,-1,Boulder,V9,1,12,35.07963,-111.61653
"Flexi Flake","Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106144161/flexi-flake,2.4,-1,Boulder,V4,1,12,35.08202,-111.59841
"Honey Berry","G. The Booze Pig Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/116996530/honey-berry,3.7,-1,Boulder,V6-7,1,15,35.11339,-111.58081
"North face of Firepit Rock - Pay Station Area","Cochise Stronghold Campground and ""Cochise Trail""  Boulders > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106381856/north-face-of-firepit-rock-pay-station-area,3.7,-1,Boulder,"V9-10 PG13",1,20,31.92221,-109.96791
"Black Tide","Gerdame/Alien Baby Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106603814/black-tide,3.3,-1,Boulder,"V2 PG13",1,25,34.87231,-111.75381
"Blinded by the Light","Atlantis > Oak Flats > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106959093/blinded-by-the-light,3.7,-1,Boulder,"V8+ PG13",1,25,33.3023,-111.0561
"Cig Machine","Split Boulder > Panther Peak > Tucson Area Bouldering > Southern Arizona > Arizona",https://www.mountainproject.com/route/106589388/cig-machine,3.7,-1,Boulder,V7,1,20,32.3435,-111.1586
"Werewolf Bar Mitzvah","Creek Boulder > Mystic Boulders > Ventana Canyon Bouldering > Ventana Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106587822/werewolf-bar-mitzvah,3.7,-1,Boulder,V4+,1,12,32.4471,-110.7905
M.O.A.B,"Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/113142337/moab,3.3,-1,Boulder,V4,1,,35.08202,-111.59841
"Swamp Thingie","Swamp Boulder > Secret Gully > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/111693351/swamp-thingie,3.7,-1,Boulder,V8,1,9,32.38181,-110.69125
"DRL Deluxe","Upper Outfromunder Boulder > Thumb Butte Boulders > In-Town Bouldering > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110512372/drl-deluxe,3.7,-1,Boulder,"V9 PG13",1,20,34.54993,-112.51946
"Perfect Day","*Perfect Day Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/111941893/perfect-day,3.7,-1,Boulder,V3,1,12,35.11866,-111.58597
Hanuman,"Pressure Drop Roof > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107478774/hanuman,3.7,-1,Boulder,"V7- PG13",1,18,35.0655,-111.6959
"The Shield","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106781440/the-shield,3.5,-1,Boulder,V3+,1,25,34.95661,-110.65823
"Last Light","North Corridor > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107119068/last-light,3.7,-1,Boulder,V5,1,45,35.0655,-111.6959
"Left Diagonal","The Anchor > The Stone Cove > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107075259/left-diagonal,3.7,-1,Boulder,V0,1,18,35.10185,-111.55631
Layout,"The Workshop wall > The Workshop and Widow Maker Walls > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106232244/layout,3.7,-1,Boulder,V2,1,,35.1134,-111.5806
"Measure Twice","The Workshop wall > The Workshop and Widow Maker Walls > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106232235/measure-twice,3.7,-1,Boulder,V1-2,1,,35.1134,-111.5806
"Drivin' The Lane","New Outfromunder Boulders > Thumb Butte Boulders > In-Town Bouldering > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/109021146/drivin-the-lane,3.5,-1,Boulder,V4,1,10,34.5493,-112.5232
"Dope Smoker","Parking Area Bouldering > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106158146/dope-smoker,2.8,-1,Boulder,V4,1,15,35.08201,-111.6004
"A Hardwood Floor is Home","G. The Booze Pig Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107075949/a-hardwood-floor-is-home,3.5,-1,Boulder,V8,1,,35.11339,-111.58081
"This American Life","C. NPR Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106231882/this-american-life,3.5,-1,Boulder,V5-6,1,,35.10777,-111.59171
"Happy Puppy","Second Area > Grasshopper Point Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106550577/happy-puppy,3.4,-1,Boulder,V6,1,10,34.88725,-111.7311
"Seven Samurai","Seven Samurai > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106673454/seven-samurai,3.4,-1,Boulder,V5,1,,33.35601,-112.01209
"The Gomez Traverse","Gomez Roof > Howard Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106279594/the-gomez-traverse,3.4,-1,Boulder,V7,1,55,34.85844,-111.639
"Super Roof","Super Roof Area, Mountainaire > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107483899/super-roof,3.2,-1,Boulder,V5,1,,35.10337,-111.66048
"Big Sexy","Gerdame/Alien Baby Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106603502/big-sexy,3.2,-1,Boulder,V9-10,1,15,34.87231,-111.75381
"Community Service","Buffalo Park > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106120280/community-service,3.1,-1,Boulder,V4,1,12,35.2191,-111.6287
"The Missionary Position","Puzzle Box > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107010271/the-missionary-position,2.8,-1,Boulder,V6,1,12,35.0819,-111.601
"Thinner Than Ice","Nail up Rock > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110231924/thinner-than-ice,3.2,-1,Boulder,V2,1,,34.46757,-112.43804
Meateater,"Anorexic Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106249275/meateater,3.1,-1,Boulder,V7,1,15,35.08062,-111.61267
"Scary Fall of Death","Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona",https://www.mountainproject.com/route/106893999/scary-fall-of-death,3.5,-1,Boulder,"V4 X",1,27,32.21669,-111.11127
"Rat Pack","Alley Rocks > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/108180145/rat-pack,2.7,-1,Boulder,V1+,1,12,34.46714,-112.43788
Caveman,"The Studio > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106680554/caveman,3.5,-1,Boulder,V6,1,,33.36302,-111.98559
"Punch Drunk Sunrise","G. The Booze Pig Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107371463/punch-drunk-sunrise,3.5,-1,Boulder,V7,1,15,35.11339,-111.58081
Monster,"The Canyon Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/108424000/monster,3.5,-1,Boulder,V7-8,1,10,34.47058,-112.43789
"Anchor Seam","Layback Rock > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110493767/anchor-seam,3.5,-1,Boulder,V5,1,,34.46733,-112.43804
"Too Old, To Die Young","H. The Half-life Wall > The Drysdale Trail > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107399871/too-old-to-die-young,3.5,-1,Boulder,V4-5,1,,35.11284,-111.58003
"Gun Shy","Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106121153/gun-shy,3.1,-1,Boulder,V5,1,,34.46766,-112.43789
"Right Arete","Whale Shark Boulder > Howard Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106134346/right-arete,3.1,-1,Boulder,V0+,1,12,35.0816,-111.5995
"The Girl","Mars Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107281443/the-girl,3.2,-1,Boulder,V10,1,20,35.0819,-111.601
"Upside Down","The Canyon Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110493374/upside-down,3.2,-1,Boulder,V1,1,,34.47058,-112.43789
"Dangling Woo Lee Bastard","The Canyon Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/109021171/dangling-woo-lee-bastard,3.2,-1,Boulder,V5,1,20,34.47058,-112.43789
